,name,studio,domestic_gross_x,foreign_gross,year,movie_id,original_title_x,start_year,runtime_minutes,genres,Unnamed: 0,genre_ids,id_x,original_language,original_title_y,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross_y,worldwide_gross
21,Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,2013,92.0,"Action,Drama",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
22,Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,2013,92.0,"Action,Drama",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
23,Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,2013,92.0,"Action,Drama",23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
24,Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,2013,92.0,"Action,Drama",23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
25,Robin Hood,Uni.,105300000.0,216400000,2010,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
26,Robin Hood,Uni.,105300000.0,216400000,2010,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
27,Robin Hood,Uni.,105300000.0,216400000,2010,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
28,Robin Hood,Uni.,105300000.0,216400000,2010,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
29,Robin Hood,Uni.,105300000.0,216400000,2010,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
30,Robin Hood,Uni.,105300000.0,216400000,2010,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
31,Robin Hood,Uni.,105300000.0,216400000,2010,tt6858500,Robin Hood,2018,,,36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
32,Robin Hood,Uni.,105300000.0,216400000,2010,tt6858500,Robin Hood,2018,,,36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
