,Genre,genre_avg_gross,gen_avg_rating,gen_avg_roi
0,Adventure,327051013.45755696,6.358385093167701,3.0286979474720246
1,Animation,309852855.9484536,5.998453608247417,2.8858046659487147
2,Comedy,136828331.64375,6.204,5.533418928715889
3,Action,208088091.508346,6.214264036418814,4.257907110886347
4,Sci-Fi,284320427.84408605,6.308602150537629,3.825212525255551
5,Drama,88397666.96439394,6.39401515151515,4.439311242373596
6,Fantasy,206472039.99082568,6.0252293577981595,7.886027303181268
7,Family,147991085.90184048,6.430061349693251,2.392659397059059
8,Thriller,102755696.75167786,5.944295302013417,7.600768757456488
9,History,145335375.02469134,6.388888888888883,2.91583179642417
10,Romance,95764959.83861671,6.424207492795383,8.943666258616249
11,Horror,95064944.02977668,5.919106699751857,11.14942872447719
12,Mystery,74301030.31102362,6.187007874015752,7.505021515679655
13,Western,123227230.25,6.5625,1.8406885466139071
14,Biography,86758528.25706215,6.254519774011295,2.372542553207519
15,Documentary,101281327.52209945,6.237569060773485,3.4243335778819346
16,Crime,87310770.13199106,6.14228187919463,1.9325104435120746
17,Sport,228951560.25555557,6.394444444444449,14.221628573348857
18,War,30669657.222222224,6.614814814814815,1.6772890173388362
19,Music,40744503.75384615,5.856923076923071,2.270996068063072
20,Musical,146652533.875,6.975,4.287220227056277
21,News,31657826.5,5.7,0.9834108591954022
