movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0455944,the equalizer,the equalizer,2014,132,"action,crime,thriller",7.2,302302
tt0457591,memorias del desarrollo,memorias del desarrollo,2010,113,drama,7.0,58
tt0458339,captain america: the first avenger,captain america: the first avenger,2011,124,"action,adventure,sci-fi",6.9,668137
tt0458413,a long way down,a long way down,2014,96,"comedy,drama",6.4,29260
tt0458481,sin city: a dame to kill for,sin city: a dame to kill for,2014,102,"crime,thriller",6.5,140666
tt0459748,generation p,generation p,2011,112,"comedy,drama,sci-fi",6.8,3358
tt0460778,drunkboat,drunkboat,2010,98,drama,4.9,555
tt0460809,the grasslands,the grasslands,2011,114,drama,8.6,17
tt0460890,the only living boy in new york,the only living boy in new york,2017,89,drama,6.3,8727
tt0461336,saving private perez,salvando al soldado pérez,2011,105,"adventure,comedy,western",6.0,1727
tt0462036,steve phoenix: the untold story,steve phoenix: the untold story,2012,110,drama,5.5,18
tt0462335,high-rise,high-rise,2015,119,"drama,horror,sci-fi",5.6,33746
tt0462516,satan hates you,satan hates you,2010,94,horror,4.6,205
tt0463311,federal,federal,2010,91,"drama,thriller",3.2,374
tt0464032,"guns, drugs and dirty money","guns, drugs and dirty money",2010,123,"action,comedy,crime",8.0,39
tt0464054,house at the end of the drive,house at the end of the drive,2014,91,"horror,thriller",6.5,331
tt0464154,piranha 3d,piranha 3d,2010,88,"comedy,horror",5.4,81327
tt0464162,komaram puli,komaram puli,2010,163,"action,crime,thriller",3.8,1423
tt0464891,act your age,act your age,2011,101,"comedy,drama",6.5,85
tt0465637,taken by force,taken by force,2010,90,"action,drama",7.8,33
tt0466893,margaret,margaret,2011,150,drama,6.5,14708
tt0469021,alan partridge,alan partridge: alpha papa,2013,90,"action,comedy,crime",6.9,27986
tt0470752,ex machina,ex machina,2014,108,"drama,mystery,sci-fi",7.7,424542
tt0470936,"hot country, cold winter","tak erkir, tsurt dzmer",2016,104,drama,4.0,62
tt0471042,tower heist,tower heist,2011,104,"action,comedy,crime",6.2,125102
tt0472181,the smurfs,the smurfs,2011,103,"adventure,animation,comedy",5.5,77577
tt0472399,the mechanic,the mechanic,2011,93,"action,crime,thriller",6.6,141254
tt0473075,prince of persia: the sands of time,prince of persia: the sands of time,2010,116,"action,adventure,fantasy",6.6,254975
tt0473343,cielito lindo,cielito lindo,2010,91,"drama,thriller",6.9,35
tt0475290,"hail, caesar!","hail, caesar!",2016,106,"comedy,drama,music",6.3,111422
tt0476023,stiffs,stiffs,2010,104,comedy,7.3,64
tt0477302,extremely loud & incredibly close,extremely loud & incredibly close,2011,129,"adventure,drama,mystery",6.9,93164
tt0478304,the tree of life,the tree of life,2011,139,"drama,fantasy",6.8,156266
tt0478660,el horror de la dama del lago,el horror de la dama del lago,2010,90,"fantasy,horror,thriller",6.2,10
tt0478970,ant-man,ant-man,2015,117,"action,adventure,comedy",7.3,501213
tt0479204,perfect life,perfect life,2010,98,"horror,thriller",4.3,399
tt0479997,season of the witch,season of the witch,2011,95,"action,adventure,fantasy",5.4,85777
tt0480239,atlas shrugged: part i,atlas shrugged: part i,2011,97,"drama,mystery,sci-fi",5.7,12524
tt0480687,hall pass,hall pass,2011,105,"comedy,romance",5.9,113775
tt0481499,the croods,the croods,2013,98,"action,adventure,animation",7.2,176699
tt0482459,bandage,bandeiji,2010,119,"drama,music,romance",6.8,402
tt0482461,barry munday,barry munday,2010,95,"comedy,drama,romance",5.9,3846
tt0483586,chasing 3000,chasing 3000,2010,115,"family,sport",6.5,759
tt0484828,la daga de rasputín,la daga de rasputín,2011,99,"adventure,comedy",3.0,186
tt0485061,u want me 2 kill him?,uwantme2killhim?,2013,92,"drama,thriller",6.3,2288
tt0485521,sushi in suhl,sushi in suhl,2012,100,"comedy,drama",6.3,336
tt0485985,red tails,red tails,2012,125,"action,adventure,drama",5.9,31815
tt0486622,making change,making change,2012,94,drama,6.7,59
tt0490236,the invited,the invited,2010,95,"horror,thriller",4.2,240
tt0490847,double tap,double tap,2011,100,"action,crime,drama",5.2,52
tt0491152,something borrowed,something borrowed,2011,112,"comedy,drama,romance",5.9,54314
tt0491175,suburbicon,suburbicon,2017,105,"comedy,crime,drama",5.6,31294
tt0491203,tulip fever,tulip fever,2017,105,"drama,history,romance",6.2,15037
tt0492389,furry vengeance,furry vengeance,2010,92,"comedy,family",3.8,14700
tt0493405,chips,chips,2017,100,"action,comedy,crime",6.0,37029
tt0493949,ramona and beezus,ramona and beezus,2010,103,"adventure,comedy,family",6.6,16086
tt0494229,good sharma,good sharma,2010,100,drama,7.3,22
tt0498381,rings,rings,2017,102,"drama,horror,mystery",4.5,34151
tt0756727,who is harry nilsson (and why is everybody talkin' about him?),who is harry nilsson (and why is everybody talkin' about him?),2010,116,"biography,documentary,music",7.7,1332
