movie_id,primary_title,original_title_x,start_year,runtime_minutes,genres,averagerating,numvotes,genre_ids,id_x,original_language,original_title_y,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross_x,worldwide_gross,studio,domestic_gross_y,foreign_gross,year
tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,On the Road,5.6,518,17,"Mar 22, 2013",On the Road,"$25,000,000","$720,828","$9,313,302",IFC,744000.0,8000000,2012
tt4339118,On the Road,On the Road,2014,89.0,Drama,6.0,6,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,On the Road,5.6,518,17,"Mar 22, 2013",On the Road,"$25,000,000","$720,828","$9,313,302",IFC,744000.0,8000000,2012
tt5647250,On the Road,On the Road,2016,121.0,Drama,5.7,127,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,On the Road,5.6,518,17,"Mar 22, 2013",On the Road,"$25,000,000","$720,828","$9,313,302",IFC,744000.0,8000000,2012
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300,"[12, 35, 18, 14]",116745,en,The Secret Life of Walter Mitty,10.743,2013-12-25,The Secret Life of Walter Mitty,7.1,4859,37,"Dec 25, 2013",The Secret Life of Walter Mitty,"$91,000,000","$58,236,838","$187,861,183",Fox,58200000.0,129900000,2013
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116,"[80, 18, 9648, 53]",169917,en,A Walk Among the Tombstones,19.373,2014-09-19,A Walk Among the Tombstones,6.3,1685,67,"Sep 19, 2014",A Walk Among the Tombstones,"$28,000,000","$26,017,685","$62,108,587",Uni.,26300000.0,26900000,2014
tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338,"[28, 12, 878, 53]",135397,en,Jurassic World,20.709,2015-06-12,Jurassic World,6.6,14056,34,"Jun 12, 2015",Jurassic World,"$215,000,000","$652,270,625","$1,648,854,864",Uni.,652300000.0,"1,019.4",2015
tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787,"[18, 35]",23514,en,The Rum Diary,12.011,2011-10-27,The Rum Diary,5.7,652,16,"Oct 28, 2011",The Rum Diary,"$45,000,000","$13,109,815","$21,544,732",FD,13100000.0,10800000,2011
tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570,[35],76489,en,The Three Stooges,9.357999999999999,2012-04-13,The Three Stooges,5.1,215,4,"Apr 13, 2012",The Three Stooges,"$30,000,000","$44,338,224","$54,052,249",Fox,44300000.0,10500000,2012
tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,15,"Nov 24, 2010",Tangled,"$260,000,000","$200,821,936","$586,477,240",BV,200800000.0,391000000,2010
tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,"[28, 12, 878]",49529,en,John Carter,18.549,2012-03-09,John Carter,6.1,3338,14,"Mar 9, 2012",John Carter,"$275,000,000","$73,058,679","$282,778,100",BV,73100000.0,211100000,2012
tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,5.9,91546,[35],38778,en,Dinner for Schmucks,6.632000000000001,2010-07-30,Dinner for Schmucks,5.6,920,51,"Jul 30, 2010",Dinner for Schmucks,"$69,000,000","$73,026,337","$86,796,502",P/DW,73000000.0,13800000,2010
tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,32,"Jun 11, 2010",The A-Team,"$110,000,000","$77,222,099","$177,241,171",Fox,77200000.0,100000000,2010
