,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
539,The Wall,108.0,Mystery,6.8,en,The Wall,8.142000000000001,6.1,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
540,The Wall,88.0,Action,6.2,de,Die Wand,5.577000000000001,6.7,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
540,The Wall,88.0,Drama,6.2,de,Die Wand,5.577000000000001,6.7,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
540,The Wall,88.0,Thriller,6.2,de,Die Wand,5.577000000000001,6.7,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
541,The Wall,88.0,Action,6.2,en,The Wall,8.142000000000001,6.1,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
541,The Wall,88.0,Drama,6.2,en,The Wall,8.142000000000001,6.1,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
541,The Wall,88.0,Thriller,6.2,en,The Wall,8.142000000000001,6.1,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
542,The Wall,73.0,Drama,6.7,de,Die Wand,5.577000000000001,6.7,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
543,The Wall,73.0,Drama,6.7,en,The Wall,8.142000000000001,6.1,2017-05-12,3000000.0,4495262.0,RAtt.,1800000.0,2700000.0
544,The Conjuring,112.0,Horror,7.5,en,The Conjuring,18.886,7.5,2013-07-19,20000000.0,318000141.0,WB (NL),137400000.0,182100000.0
544,The Conjuring,112.0,Mystery,7.5,en,The Conjuring,18.886,7.5,2013-07-19,20000000.0,318000141.0,WB (NL),137400000.0,182100000.0
544,The Conjuring,112.0,Thriller,7.5,en,The Conjuring,18.886,7.5,2013-07-19,20000000.0,318000141.0,WB (NL),137400000.0,182100000.0
545,The Next Three Days,133.0,Action,7.4,en,The Next Three Days,11.147,7.0,2010-11-19,30000000.0,67255916.0,LGF,21100000.0,46300000.0
545,The Next Three Days,133.0,Crime,7.4,en,The Next Three Days,11.147,7.0,2010-11-19,30000000.0,67255916.0,LGF,21100000.0,46300000.0
545,The Next Three Days,133.0,Drama,7.4,en,The Next Three Days,11.147,7.0,2010-11-19,30000000.0,67255916.0,LGF,21100000.0,46300000.0
546,Dream House,84.0,Drama,6.0,en,Dream House,9.047,6.0,2011-09-30,50000000.0,41642166.0,Uni.,21300000.0,17200000.0
546,Dream House,84.0,Mystery,6.0,en,Dream House,9.047,6.0,2011-09-30,50000000.0,41642166.0,Uni.,21300000.0,17200000.0
546,Dream House,84.0,Thriller,6.0,en,Dream House,9.047,6.0,2011-09-30,50000000.0,41642166.0,Uni.,21300000.0,17200000.0
547,Letters to God,110.0,Drama,6.3,en,Letters to God,4.242,6.9,2010-04-09,3000000.0,3237452.0,Viv.,2800000.0,60300.0
