,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
434,Grown Ups,102.0,Comedy,6.0,en,Grown Ups,14.291,6.1,2010-06-25,75000000.0,272223430.0,Sony,162000000.0,109400000.0
435,The Adjustment Bureau,106.0,Romance,7.1,en,The Adjustment Bureau,13.717,6.6,2011-03-04,50200000.0,126931325.0,Uni.,62500000.0,65400000.0
435,The Adjustment Bureau,106.0,Sci-Fi,7.1,en,The Adjustment Bureau,13.717,6.6,2011-03-04,50200000.0,126931325.0,Uni.,62500000.0,65400000.0
435,The Adjustment Bureau,106.0,Thriller,7.1,en,The Adjustment Bureau,13.717,6.6,2011-03-04,50200000.0,126931325.0,Uni.,62500000.0,65400000.0
436,Cop Out,107.0,Action,5.6,en,Cop Out,8.82,5.4,2010-02-26,37000000.0,55909910.0,WB,44900000.0,10700000.0
436,Cop Out,107.0,Comedy,5.6,en,Cop Out,8.82,5.4,2010-02-26,37000000.0,55909910.0,WB,44900000.0,10700000.0
436,Cop Out,107.0,Crime,5.6,en,Cop Out,8.82,5.4,2010-02-26,37000000.0,55909910.0,WB,44900000.0,10700000.0
437,The Other Guys,107.0,Action,6.7,en,The Other Guys,13.508,6.2,2010-08-06,100000000.0,170936470.0,Sony,119200000.0,51200000.0
437,The Other Guys,107.0,Comedy,6.7,en,The Other Guys,13.508,6.2,2010-08-06,100000000.0,170936470.0,Sony,119200000.0,51200000.0
437,The Other Guys,107.0,Crime,6.7,en,The Other Guys,13.508,6.2,2010-08-06,100000000.0,170936470.0,Sony,119200000.0,51200000.0
438,Suicide Squad,123.0,Action,6.0,en,Suicide Squad,16.53,5.9,2016-08-05,175000000.0,746059887.0,WB,325100000.0,421700000.0
438,Suicide Squad,123.0,Adventure,6.0,en,Suicide Squad,16.53,5.9,2016-08-05,175000000.0,746059887.0,WB,325100000.0,421700000.0
438,Suicide Squad,123.0,Fantasy,6.0,en,Suicide Squad,16.53,5.9,2016-08-05,175000000.0,746059887.0,WB,325100000.0,421700000.0
439,Downsizing,135.0,Drama,5.7,en,Downsizing,10.682,5.1,2017-12-22,68000000.0,54462971.0,Par.,24400000.0,30600000.0
439,Downsizing,135.0,Sci-Fi,5.7,en,Downsizing,10.682,5.1,2017-12-22,68000000.0,54462971.0,Par.,24400000.0,30600000.0
441,We Bought a Zoo,124.0,Comedy,7.1,en,We Bought a Zoo,9.931,6.7,2011-12-23,50000000.0,118729073.0,Fox,75600000.0,44500000.0
