movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0069049,the other side of the wind,2018,122,drama,6.9,4517
tt0249516,foodfight!,2012,91,"action,animation,comedy",1.9,8248
tt0315642,wazir,2016,103,"action,crime,drama",7.1,15378
tt0323808,the wicker tree,2011,96,"drama,horror",3.9,2328
tt0326965,in my sleep,2010,104,"drama,mystery,thriller",5.5,1889
tt0359950,the secret life of walter mitty,2013,114,"adventure,comedy,drama",7.3,275300
tt0360556,fahrenheit 451,2018,100,"drama,sci-fi,thriller",4.9,14469
tt0365545,nappily ever after,2018,98,"comedy,drama,romance",6.4,6287
tt0365907,a walk among the tombstones,2014,114,"action,crime,drama",6.5,105116
tt0369610,jurassic world,2015,124,"action,adventure,sci-fi",7.0,539338
tt0376136,the rum diary,2011,119,"comedy,drama",6.2,94787
tt0376479,american pastoral,2016,108,"crime,drama",6.1,12898
tt0383010,the three stooges,2012,92,"comedy,family",5.1,28570
tt0398286,tangled,2010,100,"adventure,animation,comedy",7.8,366366
tt0401729,john carter,2012,132,"action,adventure,sci-fi",6.6,241792
tt0403645,burnt by the sun 2,2010,181,"drama,history,war",4.1,3907
tt0403935,action jackson,2014,144,"action,thriller",3.3,2862
tt0404978,gambit,2012,89,"comedy,crime",5.7,22148
tt0409379,in secret,2013,107,"crime,drama,thriller",6.2,7045
tt0409847,cowboys & aliens,2011,119,"action,sci-fi,thriller",6.0,195889
tt0411951,tekken,2010,87,"action,crime,drama",4.8,24913
tt0420293,the stanford prison experiment,2015,122,"biography,drama,history",6.9,32591
tt0427152,dinner for schmucks,2010,114,comedy,5.9,91546
tt0429493,the a-team,2010,117,"action,adventure,thriller",6.8,235256
tt0431021,the possession,2012,92,"horror,mystery,thriller",5.9,53649
tt0433035,real steel,2011,127,"action,drama,family",7.1,283534
tt0435651,the giver,2014,97,"drama,romance,sci-fi",6.5,104999
tt0435761,toy story 3,2010,103,"adventure,animation,comedy",8.3,682218
tt0437086,alita: battle angel,2019,122,"action,adventure,sci-fi",7.5,88207
tt0443272,lincoln,2012,150,"biography,drama,history",7.4,228701
tt0443331,milenge milenge,2010,109,"drama,romance",4.1,1571
tt0443465,before we go,2014,95,"comedy,drama,romance",6.8,45181
tt0443533,the history of love,2016,134,"drama,romance,war",6.3,1024
tt0445054,7 days,2010,105,"crime,drama,horror",6.5,6705
tt0446029,scott pilgrim vs. the world,2010,112,"action,comedy,fantasy",7.5,339338
tt0448022,a bird of the air,2011,108,"drama,romance",6.6,1061
tt0448115,shazam!,2019,132,"action,adventure,comedy",7.4,109051
tt0448694,puss in boots,2011,90,"action,adventure,animation",6.6,133355
tt0451279,wonder woman,2017,141,"action,adventure,fantasy",7.5,487527
tt0452664,party crashers,2012,88,comedy,5.4,907
tt0453562,42,2013,128,"biography,drama,sport",7.5,77703
tt0454876,life of pi,2012,127,"adventure,drama,fantasy",7.9,535836
tt0455323,being flynn,2012,102,drama,6.4,15780
tt0455407,the crazies,2010,101,"horror,thriller",6.5,104465
tt0455944,the equalizer,2014,132,"action,crime,thriller",7.2,302302
tt0458339,captain america: the first avenger,2011,124,"action,adventure,sci-fi",6.9,668137
tt0458413,a long way down,2014,96,"comedy,drama",6.4,29260
tt0458481,sin city: a dame to kill for,2014,102,"crime,thriller",6.5,140666
tt0459748,generation p,2011,112,"comedy,drama,sci-fi",6.8,3358
tt0460890,the only living boy in new york,2017,89,drama,6.3,8727
tt0461336,saving private perez,2011,105,"adventure,comedy,western",6.0,1727
tt0462335,high-rise,2015,119,"drama,horror,sci-fi",5.6,33746
tt0464154,piranha 3d,2010,88,"comedy,horror",5.4,81327
tt0464162,komaram puli,2010,163,"action,crime,thriller",3.8,1423
tt0466893,margaret,2011,150,drama,6.5,14708
tt0469021,alan partridge,2013,90,"action,comedy,crime",6.9,27986
tt0470752,ex machina,2014,108,"drama,mystery,sci-fi",7.7,424542
tt0471042,tower heist,2011,104,"action,comedy,crime",6.2,125102
tt0472181,the smurfs,2011,103,"adventure,animation,comedy",5.5,77577
tt0472399,the mechanic,2011,93,"action,crime,thriller",6.6,141254
tt0473075,prince of persia: the sands of time,2010,116,"action,adventure,fantasy",6.6,254975
tt0475290,"hail, caesar!",2016,106,"comedy,drama,music",6.3,111422
tt0477302,extremely loud & incredibly close,2011,129,"adventure,drama,mystery",6.9,93164
tt0478304,the tree of life,2011,139,"drama,fantasy",6.8,156266
tt0478970,ant-man,2015,117,"action,adventure,comedy",7.3,501213
tt0479997,season of the witch,2011,95,"action,adventure,fantasy",5.4,85777
tt0480239,atlas shrugged: part i,2011,97,"drama,mystery,sci-fi",5.7,12524
tt0480687,hall pass,2011,105,"comedy,romance",5.9,113775
tt0481499,the croods,2013,98,"action,adventure,animation",7.2,176699
tt0482461,barry munday,2010,95,"comedy,drama,romance",5.9,3846
tt0483586,chasing 3000,2010,115,"family,sport",6.5,759
tt0485061,u want me 2 kill him?,2013,92,"drama,thriller",6.3,2288
tt0485985,red tails,2012,125,"action,adventure,drama",5.9,31815
tt0491152,something borrowed,2011,112,"comedy,drama,romance",5.9,54314
tt0491175,suburbicon,2017,105,"comedy,crime,drama",5.6,31294
tt0491203,tulip fever,2017,105,"drama,history,romance",6.2,15037
tt0492389,furry vengeance,2010,92,"comedy,family",3.8,14700
tt0493405,chips,2017,100,"action,comedy,crime",6.0,37029
tt0493949,ramona and beezus,2010,103,"adventure,comedy,family",6.6,16086
tt0498381,rings,2017,102,"drama,horror,mystery",4.5,34151
tt0756727,who is harry nilsson (and why is everybody talkin' about him?),2010,116,"biography,documentary,music",7.7,1332
tt0758752,love & other drugs,2010,112,"comedy,drama,romance",6.7,167680
tt0762138,syrup,2013,90,"comedy,drama,romance",5.7,10228
tt0763831,a thousand words,2012,91,"comedy,drama",5.9,36387
tt0765446,escape from planet earth,2013,89,"adventure,animation,comedy",5.9,23298
tt0768222,night of the templar,2013,101,"horror,mystery",5.9,5392
tt0770703,what's your number?,2011,106,"comedy,romance",6.1,67922
tt0770802,samsara,2011,102,"documentary,music",8.5,29725
tt0770828,man of steel,2013,143,"action,adventure,sci-fi",7.1,647288
tt0775440,cell,2016,98,"action,drama,horror",4.3,21968
tt0775543,night catches us,2010,90,"drama,romance",6.3,1390
tt0780548,kid cannabis,2014,110,"biography,comedy,crime",6.4,8924
tt0780653,the wolfman,2010,103,"drama,fantasy,horror",5.8,97873
tt0787442,the attack,2012,102,"drama,mystery,war",7.1,3733
tt0787474,the boxtrolls,2014,96,"adventure,animation,comedy",6.8,50763
tt0787524,the man who knew infinity,2015,108,"biography,drama",7.2,43575
tt0790628,the incredible burt wonderstone,2013,100,"adventure,comedy,fantasy",5.9,67549
tt0790636,dallas buyers club,2013,117,"biography,drama",8.0,402462
tt0790663,the first grader,2010,103,"biography,drama,romance",7.5,4052
tt0790724,jack reacher,2012,130,"action,crime,thriller",7.0,284547
tt0790736,r.i.p.d.,2013,96,"action,adventure,comedy",5.6,109078
tt0790770,miles ahead,2015,100,"biography,drama,music",6.4,8498
tt0790788,the yellow wallpaper,2012,115,thriller,6.6,1695
tt0795459,wilde salomé,2011,95,"documentary,drama",6.8,748
tt0798817,13,2010,91,"drama,thriller",6.1,38418
tt0800320,clash of the titans,2010,106,"action,adventure,fantasy",5.8,256176
tt0800325,the dirt,2019,107,"biography,comedy,drama",7.0,26876
tt0800369,thor,2011,115,"action,adventure,fantasy",7.0,683264
tt0803096,warcraft,2016,123,"action,adventure,fantasy",6.9,225557
tt0804463,devil's knot,2013,114,"biography,crime,drama",6.1,18716
tt0804497,it's kind of a funny story,2010,101,"comedy,drama,romance",7.1,125583
tt0808510,tooth fairy,2010,101,"comedy,family,fantasy",5.0,37939
tt0810772,belle du seigneur,2012,104,"drama,romance",5.3,1125
tt0810819,the danish girl,2015,119,"biography,drama,romance",7.1,146873
tt0810913,jack and jill,2011,91,comedy,3.3,71361
tt0810922,take me home tonight,2011,97,"comedy,drama,romance",6.3,48393
tt0814255,percy jackson & the olympians: the lightning thief,2010,118,"adventure,family,fantasy",5.9,165108
tt0815236,she's out of my league,2010,104,"comedy,romance",6.4,117245
tt0816442,the book thief,2013,131,"drama,war",7.6,119023
tt0816462,conan the barbarian,2011,113,"action,adventure,fantasy",5.2,90834
tt0816692,interstellar,2014,169,"adventure,drama,sci-fi",8.6,1299334
tt0816711,world war z,2013,116,"action,adventure,horror",7.0,553751
tt0817230,valentine's day,2010,125,"comedy,romance",5.7,107171
tt0817545,the power of few,2013,96,"action,crime,drama",5.2,3322
tt0822847,priest,2011,87,"action,adventure,fantasy",5.7,108320
tt0825283,maximum ride,2016,88,"action,adventure,comedy",3.7,3913
tt0829150,dracula untold,2014,92,"action,drama,fantasy",6.3,164829
tt0829176,gallowwalkers,2012,90,"action,horror,thriller",3.6,6793
tt0831280,waking madison,2010,89,drama,6.0,1317
tt0831387,godzilla,2014,123,"action,adventure,sci-fi",6.4,350687
tt0835418,the babymakers,2012,95,comedy,5.0,8147
tt0835775,electric slide,2014,95,"action,biography,crime",4.6,701
tt0835802,krystal,2017,90,"comedy,drama",5.3,846
tt0837156,pee-wee's big holiday,2016,90,"adventure,comedy,family",6.2,6362
tt0837562,hotel transylvania,2012,91,"animation,comedy,family",7.1,204571
tt0837563,pet sematary,2019,101,"horror,mystery,thriller",6.0,34472
tt0839742,bhopal: a prayer for rain,2014,96,drama,7.3,1830
tt0842926,the kids are all right,2010,106,"comedy,drama,romance",7.0,120656
tt0847825,the speed of thought,2011,93,"sci-fi,thriller",4.8,1503
tt0848228,the avengers,2012,143,"action,adventure,sci-fi",8.1,1183655
tt0848537,epic,2013,102,"adventure,animation,family",6.7,95318
tt0848554,the sighting,2016,98,"horror,sci-fi,thriller",3.8,747
tt0850677,jack & diane,2012,110,"drama,horror,romance",4.5,2538
tt0857190,the sweeney,2012,112,"action,crime,drama",6.1,18095
tt0859635,super troopers 2,2018,99,"comedy,crime,mystery",6.1,20104
tt0860907,evangelion: 3.0 you can (not) redo,2012,96,"action,animation,drama",7.0,8215
tt0862748,lupin the 3rd,2014,133,"action,adventure,comedy",5.6,1288
tt0864835,mr. peabody & sherman,2014,92,"adventure,animation,comedy",6.8,57277
tt0872230,my soul to take,2010,107,"horror,mystery,thriller",4.8,18381
tt0873886,red state,2011,88,"action,crime,horror",6.2,59266
tt0878814,jewtopia,2012,90,"comedy,romance",4.5,1342
tt0878835,please give,2010,87,"comedy,drama",6.6,10652
tt0879870,eat pray love,2010,133,"drama,romance",5.8,77709
tt0881320,sanctum,2011,108,"adventure,drama,thriller",5.9,51318
tt0882977,snitch,2013,112,"action,drama,thriller",6.5,78142
tt0884214,wreckage,2010,87,"horror,thriller",4.3,1045
tt0884726,legends of oz: dorothy's return,2013,88,"adventure,animation,family",5.5,5351
tt0884732,the wedding ringer,2015,101,comedy,6.7,66893
tt0887143,hyenas,2011,92,horror,2.8,952
tt0889573,the switch,2010,101,"comedy,drama,romance",6.1,90661
tt0892318,letters to juliet,2010,105,"adventure,comedy,drama",6.6,86137
tt0892769,how to train your dragon,2010,98,"action,adventure,animation",8.1,611299
tt0892791,shrek forever after,2010,93,"adventure,animation,comedy",6.3,167532
tt0893412,from prada to nada,2011,107,"comedy,drama,romance",5.6,13644
tt0896872,the whistleblower,2010,112,"action,biography,crime",7.2,29826
tt0900387,suite française,2014,107,"drama,romance,war",7.0,19978
tt0901504,psych:9,2010,98,"horror,mystery,thriller",4.5,2072
tt0903624,the hobbit: an unexpected journey,2012,169,"adventure,family,fantasy",7.9,719629
tt0903657,love & mercy,2014,121,"biography,drama,music",7.4,32238
tt0905372,the thing,2011,103,"horror,mystery,sci-fi",6.2,111900
tt0906778,black butterflies,2011,100,"biography,drama",6.2,1941
tt0910885,a merry friggin' christmas,2014,88,comedy,5.1,5415
tt0914863,unthinkable,2010,97,"crime,drama,thriller",7.1,80152
tt0915463,jackboots on whitehall,2010,91,"animation,comedy,sci-fi",5.3,1178
tt0918575,victim,2010,90,"horror,thriller",6.0,4113
tt0918940,the legend of tarzan,2016,110,"action,adventure,drama",6.3,150154
tt0920459,the happy housewife,2010,100,"comedy,drama,romance",6.7,2642
tt0923653,the dead undead,2010,89,"action,horror,sci-fi",3.0,791
tt0926084,harry potter and the deathly hallows: part 1,2010,146,"adventure,fantasy,mystery",7.7,425530
tt0929618,the penthouse,2010,89,comedy,3.7,1345
tt0935075,rabbit hole,2010,91,drama,7.0,45357
tt0938283,the last airbender,2010,103,"action,adventure,family",4.1,137734
tt0938305,freaky deaky,2012,90,"comedy,crime,thriller",6.1,6088
tt0938330,silent hill: revelation,2012,95,horror,5.0,56832
tt0940656,arthur 3: the war of the two worlds,2010,101,"adventure,animation,family",5.5,7162
tt0944835,salt,2010,100,"action,mystery,thriller",6.4,277204
tt0945513,source code,2011,93,"action,drama,sci-fi",7.5,452036
tt0947798,black swan,2010,108,"drama,thriller",8.0,648854
tt0947810,green zone,2010,115,"action,drama,thriller",6.8,122132
tt0948470,the amazing spider-man,2012,136,"action,adventure,sci-fi",7.0,525632
tt0954947,the killer inside me,2010,109,"crime,drama,horror",6.1,31727
tt0959306,reach me,2014,95,"comedy,crime,drama",4.9,2304
tt0959329,nine dead,2010,98,"crime,drama,horror",5.5,11358
tt0961097,a monster in paris,2011,90,"adventure,animation,comedy",6.7,18254
tt0963966,the sorcerer's apprentice,2010,109,"action,adventure,family",6.1,143862
tt0964517,the fighter,2010,116,"biography,drama,sport",7.8,316539
tt0968264,the conspirator,2010,122,"crime,drama,history",6.9,26416
tt0969345,strange frame: love & sax,2012,98,"animation,crime,music",7.0,1498
tt0970179,hugo,2011,126,"adventure,drama,family",7.5,284869
tt0970866,little fockers,2010,98,"comedy,romance",5.5,99222
tt0970926,the chosen one,2010,101,"comedy,drama",4.5,2394
tt0972544,back roads,2018,101,"crime,drama,thriller",7.0,3024
tt0974015,justice league,2017,120,"action,adventure,fantasy",6.5,329135
tt0975645,hitchcock,2012,98,"biography,comedy,drama",6.8,68315
tt0977855,fair game,2010,108,"biography,drama,thriller",6.8,43862
tt0978764,sucker punch,2011,110,"action,adventure,fantasy",6.1,218371
tt0979434,lottery ticket,2010,99,comedy,5.0,10042
tt0980970,the chronicles of narnia: the voyage of the dawn treader,2010,113,"adventure,family,fantasy",6.3,129663
tt0981286,funkytown,2011,132,"drama,music",6.3,772
tt0983193,the adventures of tintin,2011,107,"action,adventure,animation",7.3,202430
tt0985694,machete,2010,105,"action,crime,thriller",6.6,182320
tt0989757,dear john,2010,108,"drama,romance,war",6.3,128657
tt0990407,the green hornet,2011,119,"action,comedy,crime",5.8,148622
tt0993842,hanna,2011,111,"action,drama,thriller",6.8,179178
tt0993846,the wolf of wall street,2013,180,"biography,crime,drama",8.2,1035358
tt0995845,the courier,2012,95,"action,crime,drama",4.5,4292
tt0995868,pelé: birth of a legend,2016,107,"biography,drama,sport",7.2,13919
tt0997035,bibliothèque pascal,2010,105,drama,7.2,1644
tt0999913,straw dogs,2011,110,"action,drama,thriller",5.8,30924
tt1001526,megamind,2010,95,"action,animation,comedy",7.3,207488
tt1002563,the young messiah,2016,111,"drama,fantasy",5.6,2882
tt1007029,the iron lady,2011,105,"biography,drama",6.4,96066
tt10084190,chandigarh amritsar chandigarh,2019,107,"comedy,drama,romance",9.4,952
tt1013743,knight and day,2010,109,"action,adventure,comedy",6.3,169840
tt1013860,dylan dog: dead of night,2010,107,"action,comedy,crime",5.1,14120
tt10147546,homecoming: a film by beyoncé,2019,137,"documentary,music",7.5,3746
tt1014759,alice in wonderland,2010,108,"adventure,family,fantasy",6.5,358813
tt1014763,child 44,2015,137,"crime,drama,history",6.5,59477
tt1015471,the sisterhood of night,2014,104,"drama,mystery,thriller",6.2,1888
tt1016090,the cursed,2010,88,"horror,romance,thriller",5.9,1878
tt1018765,our brand is crisis,2015,107,"comedy,drama",6.1,19033
tt1020072,selma,2014,128,"biography,drama,history",7.5,77633
tt1020558,centurion,2010,97,"action,adventure,drama",6.4,74085
tt1020773,certified copy,2010,106,"drama,romance",7.3,18210
tt1023114,the way back,2010,133,"adventure,drama,history",7.3,102126
tt10243678,chopsticks,2019,100,"comedy,drama",6.5,1394
tt1024648,argo,2012,120,"biography,drama,thriller",7.7,534683
tt1024770,the people i've slept with,2012,89,comedy,4.9,624
tt1024855,gunned down,2017,95,"action,thriller",5.1,697
tt10263320,enes batur gerçek kahraman,2019,99,comedy,4.5,5090
tt1027683,kill speed,2010,113,"action,crime,thriller",4.0,1782
tt1027718,wall street: money never sleeps,2010,133,drama,6.2,93486
tt1028576,secretariat,2010,123,"biography,drama,family",7.2,24536
tt1029231,krrish 3,2013,152,"action,adventure,sci-fi",5.3,18891
tt1029360,poltergeist,2015,93,"horror,thriller",4.9,51538
tt10312668,tell no one,2019,121,documentary,8.9,2111
tt1032751,the warrior's way,2010,100,"action,fantasy,western",6.3,24271
tt1032763,inseparable,2011,97,"drama,mystery",5.4,1978
tt1033575,the descendants,2011,115,"comedy,drama",7.3,223464
tt1034010,bad meat,2011,92,"comedy,horror",3.6,736
tt1034314,iron sky,2012,93,"action,comedy,sci-fi",5.9,87609
tt1034385,cold skin,2017,108,"adventure,horror,sci-fi",6.0,9059
tt1034389,the eagle,2011,114,"action,adventure,drama",6.2,61475
tt1034415,suspiria,2018,152,"fantasy,horror,mystery",6.8,37360
tt1037223,everyday,2012,106,drama,6.2,715
tt1037705,the book of eli,2010,118,"action,adventure,drama",6.9,271307
tt1038685,the king of fighters,2010,93,"action,sci-fi,thriller",3.1,3909
tt1038686,legion,2010,100,"action,fantasy,horror",5.2,92709
tt1038693,the story of luke,2012,96,"comedy,drama",7.2,2873
tt1038919,the bounty hunter,2010,110,"action,comedy,romance",5.6,112444
tt1041804,the nutcracker in 3d,2010,110,"action,family,fantasy",4.3,3119
tt1043726,the legend of hercules,2014,99,"action,adventure,fantasy",4.2,50352
tt1043800,for the good of others,2010,107,"drama,sci-fi,thriller",6.3,1573
tt1045658,silver linings playbook,2012,122,"comedy,drama,romance",7.7,621018
tt1046171,you and i,2011,100,"drama,romance",4.9,2094
tt1047011,unfinished song,2012,90,"comedy,drama,music",7.0,6709
tt1047449,camp hell,2010,99,"drama,horror",3.5,1985
tt1047540,parental guidance,2012,105,"comedy,family",6.1,23711
tt1051904,goosebumps,2015,103,"adventure,comedy,family",6.3,72858
tt1053424,repo men,2010,111,"action,crime,sci-fi",6.3,96144
tt1053810,the big year,2011,100,comedy,6.2,39522
tt1054677,the best things in the world,2010,100,"comedy,drama",7.1,1408
tt1055292,life as we know it,2010,114,"comedy,drama,romance",6.6,113077
tt1055363,the dead matter,2010,90,"fantasy,horror",3.5,826
tt1059887,the legend of awesomest maximus,2011,90,"action,comedy",4.2,2704
tt1059969,spud,2010,103,"comedy,drama",6.7,2384
tt1063111,small town saturday night,2010,94,drama,5.4,1114
tt1065073,boyhood,2014,165,drama,7.9,315584
tt1067583,water for elephants,2011,120,"drama,romance",6.9,105812
tt1067765,adult world,2013,97,"comedy,drama",6.2,15924
tt1067774,monte carlo,2011,109,"adventure,comedy,family",5.8,38731
tt1068242,footloose,2011,113,"comedy,drama,music",5.9,43251
tt1068953,house of good and evil,2013,108,"horror,thriller",6.5,7933
tt1068961,midnight son,2011,88,horror,5.9,1656
tt1071875,ghost rider: spirit of vengeance,2011,96,"action,fantasy,thriller",4.3,103608
tt1072748,winchester,2018,99,"biography,drama,fantasy",5.4,24351
tt1072754,messages deleted,2010,92,"mystery,thriller",5.0,1928
tt1073246,see you in september,2010,91,"comedy,romance",4.7,651
tt1074638,skyfall,2012,143,"action,adventure,thriller",7.8,592221
tt1077368,dark shadows,2012,113,"comedy,fantasy,horror",6.2,229818
tt1080019,jerry cotton,2010,90,"action,comedy,crime",5.3,840
tt1082577,deadly impact,2010,96,"action,crime,thriller",5.3,2349
tt1082807,the belko experiment,2016,89,"horror,thriller",6.1,38378
tt1083452,eddie the eagle,2015,106,"biography,comedy,drama",7.4,75331
tt1083462,mardi gras: spring break,2011,88,comedy,5.2,5410
tt1085492,the prince,2014,93,"action,thriller",4.6,16048
tt1086772,blended,2014,117,"comedy,romance",6.5,106491
tt1087524,once fallen,2010,93,crime,4.8,1146
tt1091191,lone survivor,2013,121,"action,biography,drama",7.5,246641
tt1092026,paul,2011,104,"adventure,comedy,sci-fi",7.0,220567
tt1093357,the darkest hour,2011,89,"action,adventure,horror",4.9,55071
tt1093906,the rig,2010,94,"action,adventure,horror",3.2,1832
tt1094666,the hammer,2010,108,"biography,drama,sport",7.0,1613
tt1100051,bereavement,2010,103,"crime,horror,thriller",5.1,6239
tt1100089,foxcatcher,2014,134,"biography,drama,sport",7.0,125954
tt1104001,tron: legacy,2010,125,"action,adventure,fantasy",6.8,296211
tt1105355,growing up smith,2015,102,"comedy,drama,family",6.8,910
tt1106860,ca$h,2010,108,"crime,thriller",6.0,8605
tt1107319,dirty girl,2010,90,"comedy,drama",6.5,10038
tt1107812,dirty movie,2011,91,comedy,3.0,2895
tt1109624,paddington,2014,95,"adventure,comedy,family",7.2,84679
tt1111313,the elephant in the living room,2010,96,documentary,7.4,959
tt1113829,george harrison: living in the material world,2011,208,"biography,documentary,music",8.2,9372
tt1116184,jackass 3d,2010,95,"action,comedy,documentary",7.0,53289
tt1120985,blue valentine,2010,112,"drama,romance",7.4,170089
tt1121096,seventh son,2014,102,"action,adventure,fantasy",5.5,66565
