movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt5815492,1945,2017,91,drama,7.2,2406
tt5815858,dangerous game,2017,94,action,5.8,807
tt5815940,gentleman,2016,144,"mystery,romance,thriller",7.1,1197
tt5815944,tokyo ghoul,2017,119,"action,horror,sci-fi",5.8,2526
tt5816374,band aid,2017,91,"comedy,drama,music",6.6,4526
tt5816682,victoria & abdul,2017,111,"biography,drama,history",6.8,24964
tt5818818,the divine order,2017,96,"comedy,drama",7.0,1729
tt5821424,thoppil joppan,2016,129,"comedy,drama",5.9,1936
tt5822690,dan-dream,2017,96,"comedy,drama,history",6.0,954
tt5824826,pelli choopulu,2016,125,"comedy,drama,romance",8.3,4058
tt5825380,wonder wheel,2017,101,drama,6.2,19782
tt5826432,burning sands,2017,96,drama,6.1,2263
tt5827212,let the corpses tan,2017,92,thriller,6.2,1828
tt5831402,the feels,2017,90,"comedy,romance",5.2,1140
tt5832544,gautamiputra satakarni,2017,131,"action,history",6.6,1811
tt5833186,last rampage: the escape of gary tison,2017,93,"crime,drama,mystery",5.7,1151
tt5833302,metro,2016,119,"action,crime,thriller",7.4,626
tt5833730,divorce french style,2016,90,comedy,6.2,1074
tt5834036,1:54,2016,106,"drama,sport",6.6,1127
tt5834262,hotel artemis,2018,94,"action,drama,sci-fi",6.1,30586
tt5834660,dance academy: the movie,2017,101,drama,7.0,1194
tt5834760,look away,2018,103,"horror,thriller",6.2,10956
tt5836316,the last movie star,2017,94,drama,7.0,2701
tt5836866,the work,2017,89,documentary,7.9,1541
tt5837242,how viktor 'the garlic' took alexey 'the stud' to the nursing home,2017,90,"crime,drama",7.2,1903
tt5838806,ann mariya kalippilanu,2016,127,"comedy,drama",7.3,996
tt5841344,the competition (2018),2018,103,"comedy,romance",4.4,694
tt5842616,veere di wedding,2018,135,comedy,3.2,10435
tt5842624,call of heroes,2016,120,action,6.5,1831
tt5842890,jupiter's moon,2017,129,"drama,sci-fi",6.1,2374
tt5843780,river runs red,2018,94,thriller,4.9,2214
tt5843990,the woman who left,2016,226,drama,7.4,966
tt5844488,ice,2018,113,"drama,musical,romance",7.0,1836
tt5845758,sofra sirlari,2017,103,"comedy,drama",6.9,1837
tt5847286,shock wave,2017,119,"action,thriller",6.4,2054
tt5847760,liberation day,2016,100,"documentary,music",7.6,647
tt5848272,ralph breaks the internet,2018,112,"adventure,animation,comedy",7.1,85694
tt5848416,walk. ride. rodeo.,2019,100,drama,6.4,1103
tt5848714,american violence,2017,107,"crime,drama,thriller",4.5,1482
tt5849148,appa,2016,124,drama,8.1,1070
tt5851014,savage dog,2017,94,"action,drama",4.9,2159
tt5851692,herd,2016,100,comedy,7.1,972
tt5854198,the atoning,2017,89,"drama,horror,thriller",4.2,645
tt5855772,sunset,2018,142,drama,6.5,2085
tt5857968,kuttrame thandanai,2016,100,"crime,drama,mystery",7.8,1178
tt5858514,the children of genghis,2017,101,"adventure,family",9.4,797
tt5859238,lucky (2017),2017,88,"comedy,drama",7.4,14447
tt5861630,minutes past midnight,2016,98,"horror,thriller",5.1,754
tt5861882,sleep no more,2017,91,horror,5.6,1329
tt5862166,the poison rose,2019,93,"drama,thriller",4.4,1211
tt5862312,veronica,2017,105,horror,6.2,28811
