movie_id,person_id,primary_name,birth_year,primary_profession
tt7181556,nm0431897,Don Judge,1957,"animation_department,director,art_department"
tt7217566,nm9178805,Pavel Chodur,1989,"writer,director"
tt7240656,nm2077737,Stefanie Brockhaus,1977,"director,writer,cinematographer"
tt6156442,nm2077737,Stefanie Brockhaus,1977,"director,writer,cinematographer"
tt7243168,nm0644446,Astrid Ofner,1966,"editor,writer,producer"
tt7249616,nm1416227,David Lussier,1976,"producer,writer,director"
tt5655912,nm1416227,David Lussier,1976,"producer,writer,director"
tt8911302,nm1416227,David Lussier,1976,"producer,writer,director"
tt3007308,nm1416227,David Lussier,1976,"producer,writer,director"
tt8908598,nm1416227,David Lussier,1976,"producer,writer,director"
tt7583410,nm1391054,Francesco Patierno,1964,"director,writer,cinematographer"
tt2015340,nm1391054,Francesco Patierno,1964,"director,writer,cinematographer"
tt3485114,nm1391054,Francesco Patierno,1964,"director,writer,cinematographer"
tt3886508,nm1391054,Francesco Patierno,1964,"director,writer,cinematographer"
tt8968758,nm1391054,Francesco Patierno,1964,"director,writer,cinematographer"
tt2388426,nm1391054,Francesco Patierno,1964,"director,writer,cinematographer"
tt7586912,nm2208237,Petra Nesvacilová,1985,"actress,director,writer"
tt7621064,nm2492285,James Marcus Haney,1988,"director,writer,assistant_director"
tt3722248,nm2492285,James Marcus Haney,1988,"director,writer,assistant_director"
tt4040900,nm2492285,James Marcus Haney,1988,"director,writer,assistant_director"
tt7622662,nm0946523,Marianna Yarovskaya,1971,"miscellaneous,producer,writer"
tt7662644,nm0953520,Drazen Zarkovic,1970,"director,writer,actor"
tt2776882,nm0953520,Drazen Zarkovic,1970,"director,writer,actor"
tt7662644,nm0028294,Marina Andree Skop,1973,"producer,editor,director"
tt7679928,nm0246269,István Dárday,1940,"producer,director,writer"
tt7679928,nm0843726,Györgyi Szalai,1940,"writer,director,miscellaneous"
tt7690016,nm1435438,Augustine Frizzell,1979,"actress,producer,director"
tt7705740,nm0772082,Frieder Schlaich,1961,"producer,director,writer"
tt2419972,nm0772082,Frieder Schlaich,1961,"producer,director,writer"
tt7735502,nm0603299,Stefano Mordini,1968,"director,writer,producer"
tt4017052,nm0603299,Stefano Mordini,1968,"director,writer,producer"
tt2042443,nm0603299,Stefano Mordini,1968,"director,writer,producer"
tt10168672,nm0603299,Stefano Mordini,1968,"director,writer,producer"
tt7753132,nm6771706,Christian Zipfel,1992,"director,writer,miscellaneous"
tt5554478,nm6771706,Christian Zipfel,1992,"director,writer,miscellaneous"
tt7814598,nm0467011,Nadejda Koseva,1974,"director,producer,writer"
tt7846952,nm0765780,Hirohisa Sasaki,1961,"director,writer,actor"
tt9525696,nm0765780,Hirohisa Sasaki,1961,"director,writer,actor"
tt7882166,nm0049878,Craig Baldwin,1952,"director,actor,writer"
tt7882166,nm0169486,Jem Cohen,1962,"director,cinematographer,editor"
tt6370616,nm0169486,Jem Cohen,1962,"director,cinematographer,editor"
tt2268732,nm0169486,Jem Cohen,1962,"director,cinematographer,editor"
tt4462082,nm0169486,Jem Cohen,1962,"director,cinematographer,editor"
tt7882166,nm0342617,Tony Grisoni,1952,"writer,producer,director"
tt7882166,nm1454777,Jandek,1945,"composer,director,actor"
tt7882166,nm0994484,Bill Morrison,1965,"director,producer,editor"
tt2064960,nm0994484,Bill Morrison,1965,"director,producer,editor"
tt2000435,nm0994484,Bill Morrison,1965,"director,producer,editor"
tt1667485,nm0994484,Bill Morrison,1965,"director,producer,editor"
tt5215486,nm0994484,Bill Morrison,1965,"director,producer,editor"
tt7882166,nm0677551,Christopher Petit,1949,"director,writer,cinematographer"
tt7882166,nm3270827,Peter Strickland,1973,"director,writer,soundtrack"
tt7464188,nm3270827,Peter Strickland,1973,"director,writer,soundtrack"
tt2570858,nm3270827,Peter Strickland,1973,"director,writer,soundtrack"
tt3626442,nm3270827,Peter Strickland,1973,"director,writer,soundtrack"
tt1833844,nm3270827,Peter Strickland,1973,"director,writer,soundtrack"
tt6688354,nm3270827,Peter Strickland,1973,"director,writer,soundtrack"
tt7887498,nm0212156,Poppy de Villeneuve,1979,"director,actress,producer"
tt7893296,nm1163050,Santi Amodeo,1969,"soundtrack,director,writer"
tt2604346,nm1163050,Santi Amodeo,1969,"soundtrack,director,writer"
tt7905912,nm4780860,Anatoly Vasilyev,1942,"director,writer,producer"
tt7937168,nm1305002,Jose Mari Goenaga,1976,"writer,director,producer"
tt3900206,nm1305002,Jose Mari Goenaga,1976,"writer,director,producer"
tt1600383,nm1305002,Jose Mari Goenaga,1976,"writer,director,producer"
tt7937168,nm1531686,Jon Garaño,1974,"director,writer,editor"
tt5693136,nm1531686,Jon Garaño,1974,"director,writer,editor"
tt3900206,nm1531686,Jon Garaño,1974,"director,writer,editor"
tt1600383,nm1531686,Jon Garaño,1974,"director,writer,editor"
tt2103231,nm1531686,Jon Garaño,1974,"director,writer,editor"
tt7951242,nm0472306,Gerd Kroske,1958,"director,writer,producer"
tt7088418,nm0472306,Gerd Kroske,1958,"director,writer,producer"
tt2375097,nm0472306,Gerd Kroske,1958,"director,writer,producer"
tt7952534,nm1675694,Crystal Dawne,1977,"actress,director,writer"
tt7952688,nm0497056,Conan Lee,1959,"actor,miscellaneous,producer"
tt8614312,nm0497056,Conan Lee,1959,"actor,miscellaneous,producer"
tt7962542,nm5784988,"Carlos ""Los2k6"" Smith II",1988,"director,actor,writer"
tt7038828,nm5784988,"Carlos ""Los2k6"" Smith II",1988,"director,actor,writer"
tt7962516,nm5784988,"Carlos ""Los2k6"" Smith II",1988,"director,actor,writer"
tt7975244,nm0440458,Jake Kasdan,1974,"producer,director,actor"
tt1956620,nm0440458,Jake Kasdan,1974,"producer,director,actor"
tt2283362,nm0440458,Jake Kasdan,1974,"producer,director,actor"
tt1284575,nm0440458,Jake Kasdan,1974,"producer,director,actor"
tt7977162,nm0657921,Tommy Pallotta,1968,"producer,director,cinematographer"
tt1702437,nm0657921,Tommy Pallotta,1968,"producer,director,cinematographer"
tt7977162,nm0938777,Femke Wolting,1970,"producer,director,writer"
tt1702437,nm0938777,Femke Wolting,1970,"producer,director,writer"
tt8002722,nm2525297,Guillaume Lambert,1984,"actor,writer,director"
tt7582778,nm2525297,Guillaume Lambert,1984,"actor,writer,director"
tt8305116,nm0245361,Sergei Dvortsevoy,1962,"director,writer,editor"
tt8350796,nm1831111,Christopher Roth,1964,"editor,director,writer"
tt3650028,nm1831111,Christopher Roth,1964,"editor,director,writer"
tt5298558,nm1831111,Christopher Roth,1964,"editor,director,writer"
tt8406750,nm0830629,Sergio Stivaletti,1957,"special_effects,make_up_department,visual_effects"
tt2066123,nm0830629,Sergio Stivaletti,1957,"special_effects,make_up_department,visual_effects"
tt8426610,nm0233771,Joseph Dorman,1958,"producer,writer,director"
tt1976608,nm0233771,Joseph Dorman,1958,"producer,writer,director"
tt3891218,nm0233771,Joseph Dorman,1958,"producer,writer,director"
tt8445646,nm0194729,Juan Vicente Córdoba,1957,"writer,director,producer"
tt8480982,nm0331477,Valentin Goshev,1963,"actor,director,writer"
tt8486464,nm3355597,Ton van Zantvoort,1979,"producer,director,editor"
tt1872203,nm3355597,Ton van Zantvoort,1979,"producer,director,editor"
tt8503902,nm1580346,Frankie De Leonardis,1974,"art_department,miscellaneous,director"
tt8769146,nm1550132,Andrey Kravchuk,1962,"director,writer"
tt5157456,nm1550132,Andrey Kravchuk,1962,"director,writer"
tt8789416,nm0484178,Sarah Lancaster,1980,"actress,director,writer"
tt8819208,nm3371295,Mincheol Wang,1975,"cinematographer,director,assistant_director"
tt8851190,nm0334787,Michael Grandage,1962,"actor,director,producer"
tt1703957,nm0334787,Michael Grandage,1962,"actor,director,producer"
tt8907176,nm0475381,Thomas Kuo,1975,"editorial_department,visual_effects,cinematographer"
tt8908006,nm1439333,Péter Bergendy,1964,"director,actor"
tt1756384,nm1439333,Péter Bergendy,1964,"director,actor"
tt9834506,nm1439333,Péter Bergendy,1964,"director,actor"
tt8922832,nm3620486,Wen Ren,1989,"camera_department,director,editor"
tt8959092,nm0846684,Kidlat Tahimik,1942,"director,actor,writer"
tt4434336,nm0846684,Kidlat Tahimik,1942,"director,actor,writer"
tt9011390,nm0462899,Volker Koepp,1944,"director,writer,producer"
tt3502210,nm0462899,Volker Koepp,1944,"director,writer,producer"
tt5425946,nm0462899,Volker Koepp,1944,"director,writer,producer"
tt9635902,nm0482656,Man-Chung Lam,1959,"actor,music_department,composer"
tt9660390,nm8745422,Lars Haakon Storm Bakken,1978,"actor,producer,writer"
tt9680184,nm0439137,William Karel,1940,"director,writer,cinematographer"
tt2772984,nm0439137,William Karel,1940,"director,writer,cinematographer"
tt0470752,nm0307497,Alex Garland,1970,"writer,producer,director"
tt2798920,nm0307497,Alex Garland,1970,"writer,producer,director"
tt0808447,nm0002418,Colin Brunton,1955,"producer,assistant_director,production_manager"
tt0847215,nm0310329,Yvan Gauthier,1969,"editor,producer,sound_department"
tt1594505,nm0310329,Yvan Gauthier,1969,"editor,producer,sound_department"
tt10040484,nm0784395,Orlando Senna,1940,"writer,director,actor"
tt10298012,nm0784395,Orlando Senna,1940,"writer,director,actor"
tt10050098,nm2875510,Rick Caplan,1982,"director,writer,editor"
tt10072948,nm1141845,Anna Tchernakova,1968,"director,writer,producer"
tt1655608,nm1141845,Anna Tchernakova,1968,"director,writer,producer"
tt2819266,nm1141845,Anna Tchernakova,1968,"director,writer,producer"
tt10075604,nm7570226,Tuan Vu Dinh,1989,"director,actor"
tt5836334,nm7570226,Tuan Vu Dinh,1989,"director,actor"
tt10078764,nm7570226,Tuan Vu Dinh,1989,"director,actor"
tt9020586,nm7570226,Tuan Vu Dinh,1989,"director,actor"
tt1096999,nm2346569,Darius Clark Monroe,1980,"director,producer,writer"
tt1126591,nm0031078,Steve Antin,1958,"actor,writer,producer"
tt1152286,nm2405465,Jonny Cruz,1982,"actor,director,writer"
tt1183374,nm2165066,Carles Torrens,1984,"director,writer,producer"
tt5647758,nm2165066,Carles Torrens,1984,"director,writer,producer"
tt1757742,nm2165066,Carles Torrens,1984,"director,writer,producer"
tt1309601,nm0771131,Christof Schertenleib,1958,"editor,director,writer"
tt1321509,nm0001438,Neil LaBute,1963,"writer,producer,director"
tt10358574,nm0001438,Neil LaBute,1963,"writer,producer,director"
tt2231138,nm0001438,Neil LaBute,1963,"writer,producer,director"
tt2644980,nm0001438,Neil LaBute,1963,"writer,producer,director"
tt3194590,nm0001438,Neil LaBute,1963,"writer,producer,director"
tt1321870,nm0281508,Ruben Fleischer,1974,"producer,writer,director"
tt1622547,nm0281508,Ruben Fleischer,1974,"producer,writer,director"
tt1270797,nm0281508,Ruben Fleischer,1974,"producer,writer,director"
tt1560220,nm0281508,Ruben Fleischer,1974,"producer,writer,director"
tt1327196,nm0418683,Jill Jaress,1947,"actress,writer,producer"
tt1340553,nm1028302,Jason Bourque,1972,"director,writer,producer"
tt1718755,nm1028302,Jason Bourque,1972,"director,writer,producer"
tt2396591,nm1028302,Jason Bourque,1972,"director,writer,producer"
tt3605304,nm1028302,Jason Bourque,1972,"director,writer,producer"
tt5352846,nm1028302,Jason Bourque,1972,"director,writer,producer"
tt1342122,nm0415617,Henry Jaglom,1938,"writer,director,actor"
tt1738355,nm0415617,Henry Jaglom,1938,"writer,director,actor"
tt3032288,nm0415617,Henry Jaglom,1938,"writer,director,actor"
tt7652190,nm0415617,Henry Jaglom,1938,"writer,director,actor"
tt2187137,nm0415617,Henry Jaglom,1938,"writer,director,actor"
tt1352771,nm1162241,Sean Michael Beyer,1963,"director,editor,actor"
tt6862864,nm1162241,Sean Michael Beyer,1963,"director,editor,actor"
tt1365519,nm1012385,Roar Uthaug,1973,"director,writer,assistant_director"
tt2076850,nm1012385,Roar Uthaug,1973,"director,writer,assistant_director"
tt3616916,nm1012385,Roar Uthaug,1973,"director,writer,assistant_director"
tt1366409,nm0773603,Julian Schnabel,1951,"director,writer,music_department"
tt6938828,nm0773603,Julian Schnabel,1951,"director,writer,music_department"
tt1380151,nm2308658,Jeff Kopas,1975,"producer,writer,director"
tt1404386,nm2308658,Jeff Kopas,1975,"producer,writer,director"
tt1393746,nm0271815,Xiaogang Feng,1958,"writer,music_department,director"
tt2113822,nm0271815,Xiaogang Feng,1958,"writer,music_department,director"
tt6654316,nm0271815,Xiaogang Feng,1958,"writer,music_department,director"
tt1810602,nm0271815,Xiaogang Feng,1958,"writer,music_department,director"
tt5918090,nm0271815,Xiaogang Feng,1958,"writer,music_department,director"
tt2992152,nm0271815,Xiaogang Feng,1958,"writer,music_department,director"
tt1525568,nm0668244,Adam Payne,1976,"miscellaneous,director,writer"
tt1525898,nm0003910,Travis Fine,1968,"actor,writer,director"
tt2066176,nm0003910,Travis Fine,1968,"actor,writer,director"
tt1529336,nm0179038,Emiliano Corapi,1970,"writer,director,assistant_director"
tt9328744,nm0179038,Emiliano Corapi,1970,"writer,director,assistant_director"
tt1532503,nm0590122,Mike Mills,1966,"soundtrack,director,writer"
tt4385888,nm0590122,Mike Mills,1966,"soundtrack,director,writer"
tt1548597,nm1334773,Luca Lucini,1967,"director,producer,writer"
tt5749396,nm1334773,Luca Lucini,1967,"director,producer,writer"
tt3863954,nm1334773,Luca Lucini,1967,"director,producer,writer"
tt5662556,nm1334773,Luca Lucini,1967,"director,producer,writer"
tt6284414,nm1334773,Luca Lucini,1967,"director,producer,writer"
tt5224490,nm1334773,Luca Lucini,1967,"director,producer,writer"
tt1554514,nm0917220,Li Lin Wee,1973,"director,writer,producer"
tt1559040,nm0217433,Gaby Dellal,1961,"actress,director,writer"
tt4158624,nm0217433,Gaby Dellal,1961,"actress,director,writer"
tt1563732,nm2312263,Faisal Saif,1976,"writer,director,producer"
tt6764354,nm2312263,Faisal Saif,1976,"writer,director,producer"
tt3797478,nm2312263,Faisal Saif,1976,"writer,director,producer"
tt7881534,nm2312263,Faisal Saif,1976,"writer,director,producer"
tt1564559,nm2838692,Toshio Lee,1964,"director,producer"
tt1468373,nm2838692,Toshio Lee,1964,"director,producer"
tt3245334,nm2838692,Toshio Lee,1964,"director,producer"
tt2368926,nm2838692,Toshio Lee,1964,"director,producer"
tt2482480,nm2838692,Toshio Lee,1964,"director,producer"
tt6939372,nm2838692,Toshio Lee,1964,"director,producer"
tt1566531,nm1277299,Ayumu Saitô,1964,"actor,director,writer"
tt1572774,nm0750857,Josef Rusnak,1958,"director,writer,assistant_director"
tt2275743,nm0750857,Josef Rusnak,1958,"director,writer,assistant_director"
tt1800671,nm0750857,Josef Rusnak,1958,"director,writer,assistant_director"
tt0479204,nm0750857,Josef Rusnak,1958,"director,writer,assistant_director"
tt1578267,nm0006554,Rodrigo García,1959,"producer,writer,director"
tt3513054,nm0006554,Rodrigo García,1959,"producer,writer,director"
tt1602098,nm0006554,Rodrigo García,1959,"producer,writer,director"
tt1578267,nm0251774,Fernando Eimbcke,1970,"director,writer,editor"
tt3118696,nm0251774,Fernando Eimbcke,1970,"director,writer,editor"
tt2275743,nm0251774,Fernando Eimbcke,1970,"director,writer,editor"
tt3863954,nm0251774,Fernando Eimbcke,1970,"director,writer,editor"
tt1578267,nm0687751,Rodrigo Plá,1968,"assistant_director,director,producer"
tt1666318,nm0687751,Rodrigo Plá,1968,"assistant_director,director,producer"
tt4569240,nm0687751,Rodrigo Plá,1968,"assistant_director,director,producer"
tt1578267,nm1661334,Amat Escalante,1979,"director,writer,producer"
tt2852376,nm1661334,Amat Escalante,1979,"director,writer,producer"
tt5265960,nm1661334,Amat Escalante,1979,"director,writer,producer"
tt1578267,nm0305558,Gael García Bernal,1978,"actor,producer,writer"
tt4523910,nm0305558,Gael García Bernal,1978,"actor,producer,writer"
tt4874298,nm0305558,Gael García Bernal,1978,"actor,producer,writer"
tt1587109,nm0439111,Sándor Kardos,1944,"cinematographer,director,writer"
tt1822269,nm0439111,Sándor Kardos,1944,"cinematographer,director,writer"
tt1587378,nm0293611,Todd E. Freeman,1976,"producer,cinematographer,editor"
tt1789724,nm0293611,Todd E. Freeman,1976,"producer,cinematographer,editor"
tt5647758,nm0293611,Todd E. Freeman,1976,"producer,cinematographer,editor"
tt1514046,nm0293611,Todd E. Freeman,1976,"producer,cinematographer,editor"
tt4827494,nm0293611,Todd E. Freeman,1976,"producer,cinematographer,editor"
tt1594562,nm1488800,Ti West,1980,"director,writer,actor"
tt2383068,nm1488800,Ti West,1980,"director,writer,actor"
tt2105044,nm1488800,Ti West,1980,"director,writer,actor"
tt3608930,nm1488800,Ti West,1980,"director,writer,actor"
tt1935896,nm1488800,Ti West,1980,"director,writer,actor"
tt1600404,nm1683263,Barbara Kowa,1973,"actress,editor,producer"
tt1605769,nm0596962,Dominik Moll,1962,"soundtrack,director,writer"
tt5038358,nm0596962,Dominik Moll,1962,"soundtrack,director,writer"
tt1606267,nm1224879,Pradeep Sarkar,1955,"director,writer,actor"
tt8427036,nm1224879,Pradeep Sarkar,1955,"director,writer,actor"
tt3495000,nm1224879,Pradeep Sarkar,1955,"director,writer,actor"
tt1615852,nm1085055,Leonardo Fabio Calderón,1966,"assistant_director,director,production_manager"
tt5085392,nm1085055,Leonardo Fabio Calderón,1966,"assistant_director,director,production_manager"
tt1619891,nm0874824,Joachim Tschirner,1948,"director,writer,editor"
tt1626146,nm0155093,Peter Chelsom,1956,"actor,director,writer"
tt3922818,nm0155093,Peter Chelsom,1956,"actor,director,writer"
tt2275743,nm0155093,Peter Chelsom,1956,"actor,director,writer"
tt1626181,nm3262452,David Scantling,1966,"producer,director,camera_department"
tt1628055,nm0359534,Don Handfield,1971,"writer,producer,actor"
tt1906355,nm4463734,Francesco Mazza,1957,"director,producer"
tt1916756,nm1898901,Gustavo Sidlin,1978,"composer,director,writer"
tt8539782,nm1898901,Gustavo Sidlin,1978,"composer,director,writer"
tt1920954,nm3116036,James Peniata,1989,"actor,producer,director"
tt2904444,nm3116036,James Peniata,1989,"actor,producer,director"
tt2997728,nm3116036,James Peniata,1989,"actor,producer,director"
tt1857867,nm3116036,James Peniata,1989,"actor,producer,director"
tt2201126,nm3116036,James Peniata,1989,"actor,producer,director"
tt1921116,nm0787135,York Alec Shackleton,1974,"producer,actor,director"
tt2147537,nm0787135,York Alec Shackleton,1974,"producer,actor,director"
tt1523987,nm0787135,York Alec Shackleton,1974,"producer,actor,director"
tt2118707,nm0787135,York Alec Shackleton,1974,"producer,actor,director"
tt4976192,nm0787135,York Alec Shackleton,1974,"producer,actor,director"
tt1922596,nm0610750,Valérie Mréjen,1969,"director,writer,producer"
tt1927035,nm0407941,Mykhailo Illienko,1947,"director,writer,actor"
tt1928123,nm0116623,Dominic Brunt,1970,"actor,producer,director"
tt5871318,nm0116623,Dominic Brunt,1970,"actor,producer,director"
tt3700594,nm0116623,Dominic Brunt,1970,"actor,producer,director"
tt1931381,nm1192512,Peter Krüger,1964,"producer,director,actor"
tt3514982,nm1192512,Peter Krüger,1964,"producer,director,actor"
tt1935839,nm0411958,Branko Ivanda,1941,"director,writer,assistant_director"
tt1937149,nm1079062,Oriol Paulo,1975,"writer,director,editorial_department"
tt4857264,nm1079062,Oriol Paulo,1975,"writer,director,editorial_department"
tt6908274,nm1079062,Oriol Paulo,1975,"writer,director,editorial_department"
tt1942920,nm2235400,Matthew Butler-Hart,1980,"actor,writer,director"
tt5075662,nm2235400,Matthew Butler-Hart,1980,"actor,writer,director"
