movie_id,primary_title,original_title,start_year,runtime_minutes,genres
tt0462335,high-rise,high-rise,2015,119,"drama,horror,sci-fi"
tt0462516,satan hates you,satan hates you,2010,94,horror
tt0463311,federal,federal,2010,91,"drama,thriller"
tt0464032,"guns, drugs and dirty money","guns, drugs and dirty money",2010,123,"action,comedy,crime"
tt0464054,house at the end of the drive,house at the end of the drive,2014,91,"horror,thriller"
tt0464154,piranha 3d,piranha 3d,2010,88,"comedy,horror"
tt0464162,komaram puli,komaram puli,2010,163,"action,crime,thriller"
tt0464891,act your age,act your age,2011,101,"comedy,drama"
tt0465637,taken by force,taken by force,2010,90,"action,drama"
tt0465760,sensual,sensual,2010,99,drama
tt0466893,margaret,margaret,2011,150,drama
tt0469021,alan partridge,alan partridge: alpha papa,2013,90,"action,comedy,crime"
tt0470752,ex machina,ex machina,2014,108,"drama,mystery,sci-fi"
tt0470936,"hot country, cold winter","tak erkir, tsurt dzmer",2016,104,drama
tt0471042,tower heist,tower heist,2011,104,"action,comedy,crime"
tt0472181,the smurfs,the smurfs,2011,103,"adventure,animation,comedy"
tt0472399,the mechanic,the mechanic,2011,93,"action,crime,thriller"
tt0473075,prince of persia: the sands of time,prince of persia: the sands of time,2010,116,"action,adventure,fantasy"
tt0473343,cielito lindo,cielito lindo,2010,91,"drama,thriller"
tt0475290,"hail, caesar!","hail, caesar!",2016,106,"comedy,drama,music"
tt0475360,persona au gratin,persona au gratin,2012,93,comedy
tt0475983,the deafening silence of a very bright light,the deafening silence of a very bright light,2010,92,drama
tt0476023,stiffs,stiffs,2010,104,comedy
tt0477087,sid bernstein presents...,sid bernstein presents...,2010,100,documentary
tt0477302,extremely loud & incredibly close,extremely loud & incredibly close,2011,129,"adventure,drama,mystery"
tt0478304,the tree of life,the tree of life,2011,139,"drama,fantasy"
tt0478660,el horror de la dama del lago,el horror de la dama del lago,2010,90,"fantasy,horror,thriller"
tt0478970,ant-man,ant-man,2015,117,"action,adventure,comedy"
tt0479204,perfect life,perfect life,2010,98,"horror,thriller"
tt0479997,season of the witch,season of the witch,2011,95,"action,adventure,fantasy"
tt0480239,atlas shrugged: part i,atlas shrugged: part i,2011,97,"drama,mystery,sci-fi"
tt0480687,hall pass,hall pass,2011,105,"comedy,romance"
tt0481499,the croods,the croods,2013,98,"action,adventure,animation"
tt0482459,bandage,bandeiji,2010,119,"drama,music,romance"
tt0482461,barry munday,barry munday,2010,95,"comedy,drama,romance"
tt0483586,chasing 3000,chasing 3000,2010,115,"family,sport"
tt0483839,a woman is a woman,a woman is a woman,2010,102,"comedy,drama"
tt0484037,gente mala del norte,gente mala del norte,2011,97,"drama,history"
tt0484828,la daga de rasputín,la daga de rasputín,2011,99,"adventure,comedy"
tt0485061,u want me 2 kill him?,uwantme2killhim?,2013,92,"drama,thriller"
tt0485521,sushi in suhl,sushi in suhl,2012,100,"comedy,drama"
tt0485985,red tails,red tails,2012,125,"action,adventure,drama"
tt0486622,making change,making change,2012,94,drama
tt0490236,the invited,the invited,2010,95,"horror,thriller"
tt0490847,double tap,double tap,2011,100,"action,crime,drama"
tt0491152,something borrowed,something borrowed,2011,112,"comedy,drama,romance"
tt0491175,suburbicon,suburbicon,2017,105,"comedy,crime,drama"
tt0491203,tulip fever,tulip fever,2017,105,"drama,history,romance"
tt0492389,furry vengeance,furry vengeance,2010,92,"comedy,family"
tt0493405,chips,chips,2017,100,"action,comedy,crime"
tt0493949,ramona and beezus,ramona and beezus,2010,103,"adventure,comedy,family"
tt0494229,good sharma,good sharma,2010,100,drama
tt0498381,rings,rings,2017,102,"drama,horror,mystery"
tt0756727,who is harry nilsson (and why is everybody talkin' about him?),who is harry nilsson (and why is everybody talkin' about him?),2010,116,"biography,documentary,music"
tt0758752,love & other drugs,love & other drugs,2010,112,"comedy,drama,romance"
tt0762138,syrup,syrup,2013,90,"comedy,drama,romance"
tt0763831,a thousand words,a thousand words,2012,91,"comedy,drama"
tt0765446,escape from planet earth,escape from planet earth,2013,89,"adventure,animation,comedy"
tt0765465,the legend of secret pass,the legend of secret pass,2019,92,"animation,family,fantasy"
tt0768222,night of the templar,night of the templar,2013,101,"horror,mystery"
tt0770703,what's your number?,what's your number?,2011,106,"comedy,romance"
tt0770728,california indian,california indian,2011,90,drama
tt0770802,samsara,samsara,2011,102,"documentary,music"
tt0770828,man of steel,man of steel,2013,143,"action,adventure,sci-fi"
tt0772175,jersey justice,jersey justice,2014,100,"action,thriller"
tt0772179,kill,kill,2011,90,"comedy,horror,thriller"
tt0774519,the chosen heaven,el cielo elegido,2010,123,"drama,thriller"
tt0775440,cell,cell,2016,98,"action,drama,horror"
tt0775461,the rain fairy,destová víla,2010,100,"family,fantasy"
tt0775543,night catches us,night catches us,2010,90,"drama,romance"
tt0780548,kid cannabis,kid cannabis,2014,110,"biography,comedy,crime"
tt0780625,santorini blue,santorini blue,2013,90,"comedy,drama"
tt0780653,the wolfman,the wolfman,2010,103,"drama,fantasy,horror"
tt0787442,the attack,the attack,2012,102,"drama,mystery,war"
tt0787474,the boxtrolls,the boxtrolls,2014,96,"adventure,animation,comedy"
tt0787524,the man who knew infinity,the man who knew infinity,2015,108,"biography,drama"
tt0790628,the incredible burt wonderstone,the incredible burt wonderstone,2013,100,"adventure,comedy,fantasy"
tt0790636,dallas buyers club,dallas buyers club,2013,117,"biography,drama"
tt0790653,elliot loves,elliot loves,2012,92,"comedy,romance"
tt0790663,the first grader,the first grader,2010,103,"biography,drama,romance"
tt0790724,jack reacher,jack reacher,2012,130,"action,crime,thriller"
tt0790736,r.i.p.d.,r.i.p.d.,2013,96,"action,adventure,comedy"
tt0790770,miles ahead,miles ahead,2015,100,"biography,drama,music"
tt0790788,the yellow wallpaper,the yellow wallpaper,2012,115,thriller
tt0795459,wilde salomé,wilde salomé,2011,95,"documentary,drama"
tt0798817,13,13,2010,91,"drama,thriller"
tt0800092,ironmen,ironmen,2010,119,"biography,drama"
tt0800320,clash of the titans,clash of the titans,2010,106,"action,adventure,fantasy"
tt0800325,the dirt,the dirt,2019,107,"biography,comedy,drama"
tt0800369,thor,thor,2011,115,"action,adventure,fantasy"
tt0803096,warcraft,warcraft,2016,123,"action,adventure,fantasy"
tt0804463,devil's knot,devil's knot,2013,114,"biography,crime,drama"
tt0804497,it's kind of a funny story,it's kind of a funny story,2010,101,"comedy,drama,romance"
tt0808447,the last pogo jumps again,the last pogo jumps again,2013,200,"documentary,music"
tt0808510,tooth fairy,tooth fairy,2010,101,"comedy,family,fantasy"
tt0810772,belle du seigneur,belle du seigneur,2012,104,"drama,romance"
tt0810815,cross the line,cross the line,2010,87,action
tt0810819,the danish girl,the danish girl,2015,119,"biography,drama,romance"
tt0810856,eyes of the mothman,eyes of the mothman,2011,150,documentary
tt0810913,jack and jill,jack and jill,2011,91,comedy
tt0810922,take me home tonight,take me home tonight,2011,97,"comedy,drama,romance"
tt0811069,lavoe,the king hector lavoe,2011,90,"drama,music"
tt0813992,american flyer,american flyer,2010,100,adventure
tt0814255,percy jackson & the olympians: the lightning thief,percy jackson & the olympians: the lightning thief,2010,118,"adventure,family,fantasy"
tt0815236,she's out of my league,she's out of my league,2010,104,"comedy,romance"
tt0816362,card subject to change,card subject to change,2010,87,documentary
tt0816442,the book thief,the book thief,2013,131,"drama,war"
tt0816462,conan the barbarian,conan the barbarian,2011,113,"action,adventure,fantasy"
tt0816648,shanghai hotel,shanghai hotel,2011,110,drama
tt0816692,interstellar,interstellar,2014,169,"adventure,drama,sci-fi"
tt0816711,world war z,world war z,2013,116,"action,adventure,horror"
tt0817230,valentine's day,valentine's day,2010,125,"comedy,romance"
tt0817545,the power of few,the power of few,2013,96,"action,crime,drama"
tt0818098,dreamkiller,dreamkiller,2010,110,thriller
tt0821486,manhattan minutiae,manhattan minutiae,2016,99,"comedy,music,romance"
tt0822847,priest,priest,2011,87,"action,adventure,fantasy"
tt0825282,the long falling,où va la nuit,2011,105,drama
tt0825283,maximum ride,maximum ride,2016,88,"action,adventure,comedy"
tt0825334,caravaggio and my mother the pope,caravaggio and my mother the pope,2018,90,"comedy,drama"
tt0829150,dracula untold,dracula untold,2014,92,"action,drama,fantasy"
