movie_id,person_id,primary_name,birth_year,primary_profession
tt3072732,nm0001949,Andrew Birkin,1945,"writer,director,actor"
tt7302634,nm0001949,Andrew Birkin,1945,"writer,director,actor"
tt3072732,nm0366337,James V. Hart,1947,"writer,producer,miscellaneous"
tt0848537,nm0366337,James V. Hart,1947,"writer,producer,miscellaneous"
tt3072732,nm0631093,Sebastian Niemann,1968,"director,writer,producer"
tt7302634,nm0631093,Sebastian Niemann,1968,"director,writer,producer"
tt3078718,nm2663031,Matteo Oleotto,1977,"director,actor,writer"
tt3090110,nm2451445,Tanner Beard,1984,"producer,actor,writer"
tt1220217,nm2451445,Tanner Beard,1984,"producer,actor,writer"
tt3117184,nm0638324,Colin Nutley,1944,"director,producer,writer"
tt1461307,nm0638324,Colin Nutley,1944,"director,producer,writer"
tt3129892,nm1057010,Bart Ruspoli,1976,"actor,producer,writer"
tt1453245,nm1057010,Bart Ruspoli,1976,"actor,producer,writer"
tt4469518,nm1057010,Bart Ruspoli,1976,"actor,producer,writer"
tt3699684,nm1057010,Bart Ruspoli,1976,"actor,producer,writer"
tt3130394,nm2539880,Je'Caryous Johnson,1977,"producer,writer,director"
tt2462708,nm2539880,Je'Caryous Johnson,1977,"producer,writer,director"
tt3130598,nm2539880,Je'Caryous Johnson,1977,"producer,writer,director"
tt3130506,nm2539880,Je'Caryous Johnson,1977,"producer,writer,director"
tt3134770,nm5873168,Filipe Araujo,1977,"producer,director,cinematographer"
tt3142544,nm5152674,Eric Dean Hordes,1983,"director,editor,writer"
tt2262282,nm5152674,Eric Dean Hordes,1983,"director,editor,writer"
tt3953116,nm5152674,Eric Dean Hordes,1983,"director,editor,writer"
tt3142512,nm5152674,Eric Dean Hordes,1983,"director,editor,writer"
tt3161386,nm1844052,John Rogers,1971,"producer,camera_department,actor"
tt3549566,nm1844052,John Rogers,1971,"producer,camera_department,actor"
tt7554372,nm1844052,John Rogers,1971,"producer,camera_department,actor"
tt3173594,nm0766112,Akan Satayev,1971,"producer,director,actor"
tt3173594,nm3343487,Sanzhar Sultan,1988,"producer,writer,director"
tt1572777,nm3343487,Sanzhar Sultan,1988,"producer,writer,director"
tt3182590,nm0337833,Eugène Green,1947,"director,writer,actor"
tt4741774,nm0337833,Eugène Green,1947,"director,writer,actor"
tt6985074,nm0337833,Eugène Green,1947,"director,writer,actor"
tt9059898,nm0337833,Eugène Green,1947,"director,writer,actor"
tt3182620,nm0578899,George Mendeluk,1948,"director,writer,producer"
tt3195056,nm0293726,Christian Frei,1959,"director,producer,writer"
tt6862536,nm0293726,Christian Frei,1959,"director,producer,writer"
tt3195644,nm1191481,Leigh Whannell,1977,"actor,writer,producer"
tt5726086,nm1191481,Leigh Whannell,1977,"actor,writer,producer"
tt2490326,nm1191481,Leigh Whannell,1977,"actor,writer,producer"
tt2226417,nm1191481,Leigh Whannell,1977,"actor,writer,producer"
tt1591095,nm1191481,Leigh Whannell,1977,"actor,writer,producer"
tt2130270,nm1191481,Leigh Whannell,1977,"actor,writer,producer"
tt6499752,nm1191481,Leigh Whannell,1977,"actor,writer,producer"
tt3279708,nm0918030,John Weiley,1944,"producer,writer,director"
tt3281662,nm0918030,John Weiley,1944,"producer,writer,director"
tt3282308,nm0221493,Maxime Desmons,1972,"actor,director,writer"
tt3291148,nm1064292,Craig Roberts,1991,"actor,writer,director"
tt3306776,nm1400430,Hideki Kamiya,1970,"writer,director,miscellaneous"
tt1753496,nm1400430,Hideki Kamiya,1970,"writer,director,miscellaneous"
tt3311014,nm1278118,Baohua Zhao,1945,"writer,actor"
tt7533592,nm1278118,Baohua Zhao,1945,"writer,actor"
tt9878366,nm1278118,Baohua Zhao,1945,"writer,actor"
